text,label,intent,severity
"Tôi bị buồn nôn thai kỳ, đồng thời dạo này còn hay bị khám thai định kỳ.",Khoa Sản - Phụ Khoa,SYMPTOM,NORMAL
"Bác sĩ ơi, tôi bị đánh trống ngực, thỉnh thoảng còn kèm theo khó thở khi nằm.",Khoa Tim Mạch,SYMPTOM,MEDIUM
Bệnh viện có khám ngoài giờ hành chính không? Tư vấn giúp mình với.,FAQ,FAQ,NORMAL
Tôi bị chảy mủ tai uống thuốc mãi không khỏi.,Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
Tôi muốn đăng ký khám tổng quát thì gói nào tốt?,FAQ,FAQ,NORMAL
Tự nhiên hôm nay tôi bị đau bụng quằn quại và nôn ra máu.,Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Mấy hôm nay tôi vừa bị yếu liệt nửa người đột ngột vừa bị tím tái, mệt mỏi quá.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Cho tôi hỏi, tôi bị bé lừ đừ không chịu chơi thì nên khám khoa nào ạ?",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi cấp cứu, tôi bị nói đớ đau không chịu nổi.",Khoa Thần Kinh,SYMPTOM,EMERGENCY
"Bác sĩ ơi, em bị viêm amidan, ngoài ra còn có dấu hiệu ngạt mũi.",Khoa Tai Mũi Họng,SYMPTOM,NORMAL
"Bác sĩ ơi cấp cứu, tôi bị động thai đau không chịu nổi.",Khoa Sản - Phụ Khoa,SYMPTOM,EMERGENCY
"Bác sĩ cho em hỏi, em hay bị khô mắt là dấu hiệu của bệnh gì?",Khoa Mắt,SYMPTOM,NORMAL
"Cho tôi hỏi, tôi bị viêm họng thì nên khám khoa nào ạ?",Khoa Hô Hấp,SYMPTOM,NORMAL
"Cháu nhà tôi bị tím tái từ hôm qua, giờ thấy bỏng nặng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
Tôi bị đột quỵ uống thuốc mãi không khỏi.,Khoa Cấp Cứu,SYMPTOM,EMERGENCY
Tôi cảm thấy ợ chua liên tục trong nhiều ngày nay.,Khoa Tiêu Hoá,SYMPTOM,NORMAL
Admin cho mình hỏi Tôi muốn đặt lịch khám trước thì làm thế nào?,FAQ,FAQ,NORMAL
"Dạ bác sĩ, em đang bị điếc đột ngột thì phải làm sao ạ?",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Cháu nhà tôi bị khô da từ hôm qua, giờ thấy viêm da cơ địa.",Khoa Da Liễu,SYMPTOM,NORMAL
"Tôi bị ngất xỉu, đồng thời dạo này còn hay bị co giật.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Chào bác sĩ, dạo này tôi hay cảm thấy nuốt vướng, có lúc còn bị sổ mũi nữa.",Khoa Tai Mũi Họng,SYMPTOM,NORMAL
"Bác sĩ cho hỏi, bệnh viện có khám ngoài giờ hành chính không?",FAQ,FAQ,NORMAL
"Bác sĩ ơi, tôi bị khó tiêu mấy hôm nay rồi.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Tôi đang có triệu chứng trật khớp, và tôi cũng cảm thấy gút cấp.",Khoa Xương Khớp,SYMPTOM,MEDIUM
Dạ cho em hỏi: tôi muốn đăng ký khám tổng quát thì gói nào tốt?,FAQ,FAQ,NORMAL
Dạ cho em hỏi: Cho tôi hỏi lịch khám của giáo sư A là khi nào?,FAQ,FAQ,NORMAL
"Cháu nhà tôi bị rối loạn tiền đình từ hôm qua, giờ thấy run tay chân.",Khoa Thần Kinh,SYMPTOM,NORMAL
"Tôi đang có triệu chứng nhiều gàu, và tôi cũng cảm thấy nổi mẩn đỏ.",Khoa Da Liễu,SYMPTOM,NORMAL
Thủ tục nhập viện gồm những giấy tờ gì?,FAQ,FAQ,NORMAL
"Tôi bị đau nhức hốc mắt, đồng thời dạo này còn hay bị chấn thương mắt.",Khoa Mắt,SYMPTOM,MEDIUM
"Bác sĩ ơi, tôi bị ngứa ngáy vùng kín, thỉnh thoảng còn kèm theo đau bụng kinh.",Khoa Sản - Phụ Khoa,SYMPTOM,NORMAL
"Tôi bị đau bụng quằn quại, đồng thời dạo này còn hay bị sốt cao co giật.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Mấy hôm nay tôi vừa bị đau khớp gối vừa bị mỏi cổ, mệt mỏi quá.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Tự nhiên hôm nay tôi bị khó thở dữ dội, khó chịu quá.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
Tôi cảm thấy sổ mũi liên tục trong nhiều ngày nay.,Khoa Hô Hấp,SYMPTOM,NORMAL
"Cháu nhà tôi bị khám thai định kỳ từ hôm qua, giờ thấy ra khí hư bất thường.",Khoa Sản - Phụ Khoa,SYMPTOM,NORMAL
Cho tôi hỏi tôi bị gút cấp với trật khớp thì khám khoa nào ạ?,Khoa Xương Khớp,SYMPTOM,MEDIUM
"Chào bác sĩ, dạo này tôi hay cảm thấy gút cấp, có lúc còn bị sưng tấy khớp nữa.",Khoa Xương Khớp,SYMPTOM,MEDIUM
Admin cho mình hỏi Khám BHYT có được hỗ trợ 100% không ạ?,FAQ,FAQ,NORMAL
Tôi bị tê liệt một bên mặt uống thuốc mãi không khỏi.,Khoa Thần Kinh,SYMPTOM,EMERGENCY
Tôi bị nổi mề đay toàn thân uống thuốc mãi không khỏi.,Khoa Da Liễu,SYMPTOM,MEDIUM
Cho tôi hỏi tôi bị khó thở nhẹ với nôn ra máu thì khám khoa nào ạ?,Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ cho hỏi, Bệnh viện có làm việc thứ 7, chủ nhật không?",FAQ,FAQ,NORMAL
