text,label,intent,severity
"Hôm nay tôi bị mờ mắt, nhìn không rõ, chảy nước mắt hơn 1 tuần rồi.",Khoa Mắt,SYMPTOM,MEDIUM
Bệnh viện có khám BHYT vào cuối tuần không?,FAQ,FAQ,NORMAL
"Bác sĩ ơi, mấy hôm nay tôi đau nhói nửa đầu bên trái, thỉnh thoảng bị thấy sợ ánh sáng, buồn nôn.",Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
"Gần đây tôi liên tục không dứt hay bị đau tức ngực, ngoài ra còn bị khó thở và tim đập nhanh.",Khoa Tim Mạch,SYMPTOM,MEDIUM
"Mấy hôm nay tôi hơn 1 tuần rồi hay thấy đi ngoài ra máu, ngoài ra còn thấy táo bón và đau rát.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Dạo này tôi khoảng 2 ngày nay hay bị tê bì chân tay, ngoài ra còn bị mỏi vai gáy và choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,NORMAL
"Bác sĩ ơi tôi liên tục không dứt hay bị ngất xỉu đột ngột, ngoài ra còn bị co giật và không phản ứng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Tôi thấy cộm mắtnhạy cảm ánh sáng, nhức mắt hơn 1 tuần rồi.",Khoa Mắt,SYMPTOM,NORMAL
"Gần đây tôi hơn 1 tuần rồi hay bị đau dạ dày, ngoài ra còn bị nóng rát vùng ngực và ợ hơi.",Khoa Tiêu Hoá,SYMPTOM,MEDIUM
"Dạ tôi bị đau ngực dữ dội, đổ mồ hôi lạnh, choáng váng hơn 1 tuần rồi.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Cháu nhà tôi từ sáng nay hay thấy tiêu chảy, ngoài ra còn thấy đau bụng và sốt nhẹ.",Khoa Nhi,SYMPTOM,MEDIUM
Gần đây tôi bị ngất xỉu đột ngột co giật kết hợp với không phản ứng từ sáng nay.,Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi tôi khoảng 2 ngày nay hay bị đầy hơi, ngoài ra còn bị khó tiêu và ợ chua.",Khoa Tiêu Hoá,SYMPTOM,MEDIUM
Hôm nay tôi bị nổi mẩn đỏ và ngứa ngáy đồng thời bị lan rộng kéo dài dai dẳng.,Khoa Da Liễu,SYMPTOM,MEDIUM
"Bác sĩ ơi, bác sĩ ơi tôi hồi hộp, kéo dài dai dẳng thấy đánh trống ngực, khó thở khi nằm.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bác sĩ ơi tôi hơn 1 tuần rồi hay bị khô mắt, ngoài ra còn bị mỏi mắt và nhức hốc mắt.",Khoa Mắt,SYMPTOM,NORMAL
"Dạo này tôi bị nấm da và ngứa rát, bong tróc mấy tháng nay.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Bác sĩ ơi, hôm nay tôi sưng đỏ khớp ngón chân, mấy tháng nay thấy đau buốt, khó cử động.",Khoa Xương Khớp,SYMPTOM,MEDIUM
"Mấy hôm nay tôi thỉnh thoảng bị hay bị đau lưng, ngoài ra còn bị lan xuống chân và tê buốt.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Vui lòng cho biết, Lịch làm việc của phòng khám chuyên gia như thế nào?",FAQ,FAQ,NORMAL
"Bác sĩ ơi, cháu nhà tôi nổi mẩn đỏ, từ sáng nay thấy ngứa ngáy, khóc đêm.",Khoa Nhi,SYMPTOM,EMERGENCY
"Tôi từ sáng nay hay thấy đi ngoài ra máu, ngoài ra còn thấy táo bón và đau rát.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Bác sĩ ơi, tôi ù tai, liên tục không dứt thấy đau nhức tai, chảy mủ tai.",Khoa Tai Mũi Họng,SYMPTOM,NORMAL
"Tôi mấy tháng nay hay thấy đỏ mắt, ngoài ra còn thấy đổ ghèn nhiều và ngứa mắt.",Khoa Mắt,SYMPTOM,MEDIUM
"Người nhà tôi bị bỏng nặng và đau dữ dội, phồng rộp lớn hơn 1 tuần rồi.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Vui lòng cho biết, Thủ tục nhập viện cần mang theo những giấy tờ gì?",FAQ,FAQ,NORMAL
"Bác sĩ ơi, dạo này tôi đau ngực dữ dội, hơn 1 tuần rồi thấy đổ mồ hôi lạnh kèm theo choáng váng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi, gần đây tôi đau nhói tim, hơn 1 tuần rồi thấy vã mồ hôi sau đó thì mệt mỏi.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Trẻ nhà tôi bị tiêu chảy, đau bụng, sốt nhẹ kéo dài dai dẳng.",Khoa Nhi,SYMPTOM,MEDIUM
"Trẻ nhà tôi từ sáng nay hay thấy tiêu chảy, ngoài ra còn thấy đau bụng và sốt nhẹ.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, bác sĩ ơi tôi đau mỏi vai gáy, từ sáng nay thấy tê tay đồng thời bị cứng khớp buổi sáng.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Dạ thưa bác sĩ, Tôi quên mật khẩu tài khoản thì lấy lại ở đâu?",FAQ,FAQ,NORMAL
